,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40
Class,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
?|100130426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
?|100133144,6,3,3,3,3,3,8,4,4,13,5,14,15,0,27,2,5,10,35,0,21,26,37,21,16,6,5,20,55,14,11,12,10,37,21,19,43,3,7,31
?|100134869,6,7,3,4,6,9,18,11,11,15,10,16,30,26,32,42,14,20,39,22,3,10,28,8,15,4,9,14,50,7,9,8,11,14,0,17,8,7,13,21
?|10357,140,144,61,126,185,126,344,313,181,277,217,267,156,326,396,318,247,342,337,332,196,197,171,216,149,139,192,212,337,422,302,145,188,235,286,270,130,256,223,331
?|10431,2042,1764,1766,1294,2109,1483,4360,3073,2973,1946,2351,3051,2424,3007,3771,3290,1919,2871,3351,3806,1856,2280,2082,1394,1077,2372,2115,2869,2173,4505,1060,1132,2179,2316,1773,2710,1350,1925,1820,2320
?|136542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|155060,207,105,66,83,53,286,307,134,192,255,144,196,300,287,512,167,166,174,400,195,359,736,542,361,463,381,255,607,1353,116,205,87,240,211,193,342,202,192,141,185
?|26823,3,0,0,2,0,1,0,1,2,0,0,0,1,3,1,0,0,0,0,0,1,9,2,4,2,0,0,4,3,0,2,0,0,1,0,1,0,0,2,0
?|280660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|317712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|340602,4,0,0,3,0,3,0,2,3,5,4,0,0,0,2,1,2,0,2,1,5,6,0,23,20,0,3,0,2,6,4,0,1,0,7,3,7,0,8,3
?|388795,1,2,1,0,1,1,0,0,0,1,1,0,0,0,0,0,2,1,1,0,5,4,6,1,3,2,1,4,1,1,0,0,2,0,0,2,0,0,0,0
?|390284,22,13,5,10,4,22,22,46,8,26,15,20,21,21,28,33,25,37,65,26,20,20,7,6,6,15,6,9,22,31,30,17,18,16,19,25,10,22,20,18
?|391343,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0
?|391714,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,2,2,1,0,0,1,1,0,0,0,0,3,2,1,2,2,0,1
?|404770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|441362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|442388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?|553137,1812,979,803,289,254,822,1003,774,512,534,310,632,2340,2593,3207,1523,509,1088,3355,895,1823,1944,1139,414,932,288,28,796,2106,1522,892,836,560,2621,1039,4224,271,2341,2056,647
?|57714,998,1006,520,873,1137,857,2753,2323,1943,1984,2309,1720,2504,2176,4962,1595,707,3503,2404,1957,3048,2930,1597,1840,2252,980,753,4349,4478,2868,3854,1563,1784,1710,3579,7489,3676,1988,3181,4871
?|645851,101,35,14,2,2,29,18,9,73,8,6,39,4,13,22,4,5,9,5,24,53,35,20,11,28,22,6,52,112,17,10,4,21,14,4,33,6,2,7,3
?|652919,0,24,4,4,15,26,146,87,118,0,122,124,0,179,211,0,0,49,42,164,99,4,408,0,0,0,3,11,0,36,12,36,10,94,38,4,0,0,102,163
?|653553,503,529,432,588,457,298,752,1280,540,761,667,474,657,327,1243,515,501,1344,1732,864,1913,1244,287,770,813,1846,5217,776,546,761,855,989,1089,1274,1300,541,2260,624,724,1367
